# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
575.7000 MA70 1000 24 225.7000 beacon98 c26 26 N beacon98->c180->c93->c185->c139->c89->c122->c207->c173->c119->c157->c60->c198->c178->c44->c22->c42->c152->c192->c48->c145->c132->beacon32->c30->c26
582.0000 MA85 1000 30 157.0000 beacon65 c177 27 N beacon65->c66->c43->c187->c123->c79->c142->c188->c86->beacon76->c156->c182->c199->c189->beacon21->c116->c23->c67->c193->c22->c95->c196->c191->c150->c73->c183->c39->c78->c206->c57->c177
583.1000 MA110 1000 4 33.1000 beacon65 c148 29 N beacon65->c35->c142->c198->c148
590.6000 MA106 1000 5 60.6000 beacon87 c40 28 N beacon87->c102->beacon76->c172->c90->c40
593.6000 MA97 1000 14 108.6000 beacon65 c47 28 N beacon65->c20->c54->c162->c28->c178->c18->c152->c179->c66->c154->c77->c19->c105->c47
594.4000 MA88 1000 4 154.4000 beacon87 c21 27 N beacon87->c102->c52->c154->c21
598.5000 MA63 1000 13 283.5000 beacon87 c161 25 N beacon87->c189->c175->c105->beacon76->c23->c126->c70->c113->beacon54->c53->c171->c160->c161
600.7000 MA103 1000 2 85.7000 beacon21 c125 28 N beacon21->c104->c125
601.2000 MA79 1000 11 206.2000 beacon10 c198 26 N beacon10->c191->c153->c112->c40->c113->beacon54->c53->c171->c160->c161->c198
601.3000 MA80 1000 14 201.3000 beacon87 c198 26 N beacon87->c189->c175->c105->beacon76->c23->c126->c70->c113->beacon54->c53->c171->c160->c161->c198
611.9000 MA93 1000 13 146.9000 beacon87 c184 27 N beacon87->c102->beacon76->c11->c19->c105->c208->c201->c39->c32->c154->c113->c64->c184
617.6000 MA99 1000 10 122.6000 beacon10 c62 27 N beacon10->c40->c89->c168->beacon98->c179->c208->c95->beacon21->c109->c62
618.8000 MA100 1000 20 118.8000 beacon32 c13 28 N beacon32->c82->beacon109->c72->c73->c146->c122->c16->c118->c46->c196->c60->c18->c131->c39->c201->c130->c90->c172->c164->c13
623.4000 MA83 1000 2 208.4000 beacon54 c42 26 N beacon54->c174->c42
630.1000 MA108 1000 23 90.1000 beacon65 c41 28 N beacon65->c35->c15->c171->c68->c53->c123->c59->c152->c158->c11->c66->c167->c97->c165->c73->c135->c114->c111->c177->c190->c138->c92->c41
635.2000 MA115 1000 8 60.2000 beacon10 c206 28 N beacon10->c40->c119->c57->c174->c180->c192->beacon32->c206
635.9000 MA121 1000 8 30.9000 beacon98 c46 29 N beacon98->c38->c196->c158->c167->c114->c159->c165->c46
637.8000 MA116 1000 11 57.8000 beacon76 c22 29 N beacon76->c201->c25->c167->c12->c172->c122->c205->c113->c153->c119->c22
644.5000 MA114 1000 18 74.5000 beacon98 c23 28 N beacon98->c186->c94->c143->beacon76->c164->c25->c97->c167->c12->c172->c122->c205->c18->c72->c132->c101->c37->c23
