# time  created  delivered  delivered/created
975.1000 195 177 0.9077
980.0000 196 177 0.9031
984.1000 196 178 0.9082
985.0000 197 178 0.9036
985.3000 197 179 0.9086
990.0000 198 179 0.9040
995.0000 199 179 0.8995
1000.0000 200 179 0.8950
1005.0000 201 179 0.8905
1008.6000 201 180 0.8955
1010.0000 202 180 0.8911
1012.8000 202 181 0.8960
1013.4000 202 182 0.9010
1015.0000 203 182 0.8966
1017.4000 203 183 0.9015
1020.0000 204 183 0.8971
1021.1000 204 184 0.9020
1021.7000 204 185 0.9069
1025.0000 205 185 0.9024
1030.0000 206 185 0.8981
1030.7000 206 186 0.9029
1030.8000 206 187 0.9078
1034.4000 206 188 0.9126
1035.0000 207 188 0.9082
1035.2000 207 189 0.9130
1038.5000 207 190 0.9179
1039.8000 207 191 0.9227
1040.0000 208 191 0.9183
1045.0000 209 191 0.9139
1050.0000 210 191 0.9095
1055.0000 211 191 0.9052
1056.7000 211 192 0.9100
1056.8000 211 193 0.9147
1059.6000 211 194 0.9194
1059.7000 211 195 0.9242
1060.0000 212 195 0.9198
1065.0000 213 195 0.9155
1065.7000 213 196 0.9202
1070.0000 214 196 0.9159
1075.0000 215 196 0.9116
1080.0000 216 196 0.9074
1085.0000 217 196 0.9032
1089.7000 217 197 0.9078
1090.0000 218 197 0.9037
1095.0000 219 197 0.8995
1095.0000 219 198 0.9041
1100.0000 220 198 0.9000
1102.6000 220 199 0.9045
1105.0000 221 199 0.9005
1107.0000 221 200 0.9050
1109.6000 221 201 0.9095
1110.0000 222 201 0.9054
1110.8000 222 202 0.9099
1111.6000 222 203 0.9144
1112.9000 222 204 0.9189
1113.2000 222 205 0.9234
1115.0000 223 205 0.9193
1120.0000 224 205 0.9152
1120.5000 224 206 0.9196
1125.0000 225 206 0.9156
1130.0000 226 206 0.9115
1133.4000 226 207 0.9159
1135.0000 227 207 0.9119
1137.0000 227 208 0.9163
1140.0000 228 208 0.9123
1144.1000 228 209 0.9167
1145.0000 229 209 0.9127
1145.8000 229 210 0.9170
1146.4000 229 211 0.9214
1147.2000 229 212 0.9258
1150.0000 230 212 0.9217
1150.1000 230 213 0.9261
1151.0000 230 214 0.9304
1152.8000 230 215 0.9348
1155.0000 231 215 0.9307
1156.3000 231 216 0.9351
1160.0000 232 216 0.9310
1165.0000 233 216 0.9270
1165.8000 233 217 0.9313
1169.7000 233 218 0.9356
1170.0000 234 218 0.9316
1175.0000 235 218 0.9277
1175.6000 235 219 0.9319
1180.0000 236 219 0.9280
1184.8000 236 220 0.9322
1185.0000 237 220 0.9283
1190.0000 238 220 0.9244
1195.0000 239 220 0.9205
1199.8000 239 221 0.9247
1200.0000 240 221 0.9208
1204.9000 240 222 0.9250
1205.0000 241 222 0.9212
1208.0000 241 223 0.9253
1210.0000 242 223 0.9215
1213.7000 242 224 0.9256
1215.0000 243 224 0.9218
1219.0000 243 225 0.9259
1220.0000 244 225 0.9221
1221.6000 244 226 0.9262
1225.0000 245 226 0.9224
1226.4000 245 227 0.9265
1229.4000 245 228 0.9306
1230.0000 246 228 0.9268
1230.4000 246 229 0.9309
1235.0000 247 229 0.9271
1240.0000 248 229 0.9234
1245.0000 248 230 0.9274
1245.0000 249 230 0.9237
1250.0000 250 230 0.9200
1255.0000 251 230 0.9163
1260.0000 252 230 0.9127
1265.0000 253 230 0.9091
1266.7000 253 231 0.9130
1268.0000 253 232 0.9170
1270.0000 254 232 0.9134
1270.1000 254 233 0.9173
1272.0000 254 234 0.9213
1275.0000 255 234 0.9176
1279.1000 255 235 0.9216
1279.1000 255 236 0.9255
1280.0000 256 236 0.9219
1285.0000 257 236 0.9183
1285.1000 257 237 0.9222
1290.0000 258 237 0.9186
1290.4000 258 238 0.9225
1292.3000 258 239 0.9264
1292.7000 258 240 0.9302
1295.0000 259 240 0.9266
1295.2000 259 241 0.9305
1300.0000 260 241 0.9269
1305.0000 261 241 0.9234
1310.0000 262 241 0.9198
1313.5000 262 242 0.9237
1315.0000 263 242 0.9202
1317.3000 263 243 0.9240
1320.0000 264 243 0.9205
1322.4000 264 244 0.9242
1325.0000 265 244 0.9208
1327.1000 265 245 0.9245
1328.6000 265 246 0.9283
1330.0000 266 246 0.9248
1334.1000 266 247 0.9286
1334.7000 266 248 0.9323
1335.0000 267 248 0.9288
1335.9000 267 249 0.9326
1340.0000 267 250 0.9363
1340.0000 268 250 0.9328
