# time  ID  size  fromHost  toHost  TTL  isResponse
6119.0000 MD10 1000 bcon_D3 c31 30 N 
6151.0000 MA10 1000 bcon_A0 c11 30 N 
6151.0000 MC10 1000 bcon_C2 c51 30 N 
6161.0000 ME10 1000 bcon_E4 c84 30 N 
6170.0000 MJ10 1000 bcon_J9 c159 30 N 
6212.0000 MF10 1000 bcon_F5 c64 30 N 
6714.0000 MH11 1000 bcon_H7 c130 30 N 
6724.0000 MB11 1000 bcon_B1 c52 30 N 
6730.0000 MD11 1000 bcon_D3 c195 30 N 
6737.0000 MG11 1000 bcon_G6 c202 30 N 
6739.0000 MI11 1000 bcon_I8 c16 30 N 
6769.0000 ME11 1000 bcon_E4 c81 30 N 
6775.0000 MA11 1000 bcon_A0 c123 30 N 
6780.0000 MC11 1000 bcon_C2 c45 30 N 
6782.0000 MJ11 1000 bcon_J9 c166 30 N 
6833.0000 MF11 1000 bcon_F5 c208 30 N 
7333.0000 MH12 1000 bcon_H7 c79 30 N 
7341.0000 MD12 1000 bcon_D3 c133 30 N 
7350.0000 MB12 1000 bcon_B1 c94 30 N 
7360.0000 MG12 1000 bcon_G6 c198 30 N 
7363.0000 MI12 1000 bcon_I8 c105 30 N 
7383.0000 MA12 1000 bcon_A0 c14 30 N 
7385.0000 ME12 1000 bcon_E4 c159 30 N 
7395.0000 MC12 1000 bcon_C2 c53 30 N 
7402.0000 MJ12 1000 bcon_J9 c185 30 N 
7445.0000 MF12 1000 bcon_F5 c40 30 N 
7947.0000 MD13 1000 bcon_D3 c89 30 N 
7949.0000 MH13 1000 bcon_H7 c66 30 N 
7950.0000 MB13 1000 bcon_B1 c188 30 N 
7964.0000 MG13 1000 bcon_G6 c127 30 N 
7978.0000 MI13 1000 bcon_I8 c205 30 N 
8001.0000 MA13 1000 bcon_A0 c28 30 N 
8012.0000 ME13 1000 bcon_E4 c28 30 N 
8019.0000 MC13 1000 bcon_C2 c150 30 N 
8021.0000 MJ13 1000 bcon_J9 c143 30 N 
8054.0000 MF13 1000 bcon_F5 c166 30 N 
8554.0000 MH14 1000 bcon_H7 c116 30 N 
8560.0000 MD14 1000 bcon_D3 c202 30 N 
8574.0000 MB14 1000 bcon_B1 c59 30 N 
8583.0000 MG14 1000 bcon_G6 c88 30 N 
8600.0000 MI14 1000 bcon_I8 c82 30 N 
8609.0000 MA14 1000 bcon_A0 c31 30 N 
8612.0000 ME14 1000 bcon_E4 c144 30 N 
8629.0000 MJ14 1000 bcon_J9 c110 30 N 
8638.0000 MC14 1000 bcon_C2 c173 30 N 
8670.0000 MF14 1000 bcon_F5 c196 30 N 
9158.0000 MH15 1000 bcon_H7 c129 30 N 
