# time  ID  size  fromHost  toHost  TTL  isResponse
16576.0000 MJ27 1000 bcon_J9 c125 10 N 
16577.0000 MI27 1000 bcon_I8 c64 10 N 
16579.0000 MG27 1000 bcon_G6 c162 10 N 
16589.0000 MA27 1000 bcon_A0 c39 10 N 
16626.0000 MC27 1000 bcon_C2 c139 10 N 
16627.0000 ME27 1000 bcon_E4 c63 10 N 
16682.0000 MF27 1000 bcon_F5 c101 10 N 
17149.0000 MH28 1000 bcon_H7 c17 10 N 
17171.0000 MD28 1000 bcon_D3 c138 10 N 
17180.0000 MJ28 1000 bcon_J9 c69 10 N 
17181.0000 MG28 1000 bcon_G6 c152 10 N 
17192.0000 MB28 1000 bcon_B1 c89 10 N 
17193.0000 MI28 1000 bcon_I8 c182 10 N 
17202.0000 MA28 1000 bcon_A0 c201 10 N 
17241.0000 MC28 1000 bcon_C2 c74 10 N 
17256.0000 ME28 1000 bcon_E4 c103 10 N 
17291.0000 MF28 1000 bcon_F5 c167 10 N 
17752.0000 MH29 1000 bcon_H7 c83 10 N 
17783.0000 MD29 1000 bcon_D3 c137 10 N 
17783.0000 MG29 1000 bcon_G6 c41 10 N 
17785.0000 MJ29 1000 bcon_J9 c65 10 N 
17797.0000 MI29 1000 bcon_I8 c47 10 N 
17815.0000 MA29 1000 bcon_A0 c179 10 N 
17815.0000 MB29 1000 bcon_B1 c22 10 N 
17844.0000 MC29 1000 bcon_C2 c118 10 N 
17868.0000 ME29 1000 bcon_E4 c101 10 N 
17905.0000 MF29 1000 bcon_F5 c143 10 N 
